Un. Neg.;Apelido Un. Neg.;Cód. de Barras;Produto;Estoque;Estoque Conf.;Média Venda Mensal;Estoque Final (Dias);Curva Qtd.;Compra Conf.;Transf. Conf.
08;CASTANHAL II;7898656391640;FR GER LIFREE CALCA EXTRA ABS P/M C/16;10;10;12.666;24;A;0;0
21;CAPANEMA 2;7898656391640;FR GER LIFREE CALCA EXTRA ABS P/M C/16;21;21;13.332;47;B;0;0
07;ABAETETUBA II;7898656391640;FR GER LIFREE CALCA EXTRA ABS P/M C/16;13;13;8.334;47;B;0;0
10;QUATRO BOCAS;7898656391640;FR GER LIFREE CALCA EXTRA ABS P/M C/16;10;10;6;50;B;0;0
20;MÃE DO RIO;7898656391640;FR GER LIFREE CALCA EXTRA ABS P/M C/16;5;5;3;50;B;0;0
12;ITAITUBA I;7898656391640;FR GER LIFREE CALCA EXTRA ABS P/M C/16;12;12;5.001;72;B;0;0
22;PORTEL;7898656391640;FR GER LIFREE CALCA EXTRA ABS P/M C/16;9;9;3.999;68;B;0;0
05;CAPITAO POCO;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;11;11;18.666;20;B;0;0
03;CASTANHAL I;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;24;30;47.001;19;A;6;0
19;CASTANHAL V;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;21;27;39.666;20;A;6;0
11;CASTANHAL III;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;28;42;64.332;20;A;14;0
06;SANTA ISABEL;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;11;17;23.334;22;B;6;0
04;CAMETA I;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;14;22;32.001;21;A;8;0
02;CAPANEMA;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;13;17;23.667;22;A;4;0
13;ITAITUBA II;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;14;33;22.332;44;B;19;0
12;ITAITUBA I;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;15;20;13.668;44;B;5;0
09;BARCARENA;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;2;14;14.334;29;B;12;0
08;CASTANHAL II;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;8;13;13.668;29;A;5;0
21;CAPANEMA 2;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;17;17;15.666;33;A;0;0
07;ABAETETUBA II;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;18;18;22.332;24;B;0;0
10;QUATRO BOCAS;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;8;8;8.001;30;B;0;0
01;ABAETETUBA I;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;10;10;9.666;31;B;0;0
22;PORTEL;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;7;7;0.333;631;D;0;0
20;MÃE DO RIO;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;7;7;11.001;19;B;0;0
18;CASTANHAL IV;7898656391695;FR GER LIFREE CALCA SUPER CONF G/XG C/16;22;24;40.668;18;A;2;0
11;CASTANHAL III;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;45;59;92.667;19;A;14;0
02;CAPANEMA;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;29;33;49.332;20;A;4;0
19;CASTANHAL V;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;22;28;42.333;20;A;6;0
04;CAMETA I;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;32;38;55.332;21;A;6;0
03;CASTANHAL I;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;24;36;49.668;22;A;12;0
13;ITAITUBA II;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;45;50;36;42;A;5;0
12;ITAITUBA I;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;4;37;26.001;43;A;33;0
22;PORTEL;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;6;15;6;75;B;9;0
09;BARCARENA;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;23;23;35.667;19;A;0;0
05;CAPITAO POCO;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;18;18;27.999;19;A;0;0
06;SANTA ISABEL;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;22;22;32.001;21;A;0;0
18;CASTANHAL IV;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;20;20;27.666;22;A;0;0
20;MÃE DO RIO;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;11;11;11.667;28;B;0;0
10;QUATRO BOCAS;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;17;17;15.999;32;B;0;0
07;ABAETETUBA II;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;34;34;26.667;38;B;0;0
08;CASTANHAL II;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;9;9;6.666;41;B;0;0
21;CAPANEMA 2;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;25;25;5.667;132;B;0;0
01;ABAETETUBA I;7898656391664;FR GER LIFREE CALCA SUPER CONF P/M C/16;11;11;15.999;21;B;0;0
