Cód. de Barras;Produto;Fabricante;Classificação Principal
7898947170077;"
MASCARA TRIPLA PROT BRANCA DESC CX 50 MEDIX";MEDIX;PRINCIPAL > VAREJO > DESCARTAVEIS
7898582291861; AGUA DE BELEZA SPRAY 120 ML;BELLA PHYTHUS;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7891058006075; CLORIDRATO DONEPEZILA 10MG C/30 CP (MED);MEDLEY IND. FARM-SIC;PRINCIPAL > GENERICO > GENERICO-CONTROLADO
7898582292547; GEL MELALEUCA FACIAL 30G;BELLA PHYTHUS;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7909690029564; HAVAIANAS SLIM GLITTER ROSA 35/36;ALPARGATAS S/A;PRINCIPAL > VAREJO > VAREJO-HAVAIANAS
7896007547913; LENCO UMED HUGGIES C/48 PURO E NATURAL;KIMBERLY CLARK BRASIL IND E CO;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - LENÇO UMEDECIDO
7896235354901; LOCAO P/ MAOS PAIXAO BRIDGERTON 75G;COTY;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-HIDRATANTES
7898582292653; OLEO DE GIRASSOL DERSOL 500ML;BELLA PHYTHUS;PRINCIPAL > VAREJO > VAREJINHO
7898582291946; OLEO DE GIRASSOL DERSOL CREME 100MG;BELLA PHYTHUS;PRINCIPAL > VAREJO > VAREJINHO
3349668580859; PACO RABANNE KIT 50ML+GEL 100ML INVICTUS;PACO RABANNE PERFUMES LTDA;PRINCIPAL > PERFUMARIA > PERF-PERFUMES IMPORTADOS
3349668573141; PACO RABANNE KIT INVICTUS 100 ML + SHOWER GEL100 ML;PACO RABANNE PERFUMES LTDA;PRINCIPAL > PERFUMARIA > PERF-PERFUMES IMPORTADOS
584807; PASTA DE AMENDOIM COCONUT BELGA 500G C/ WHEYROCK;HYPERMARCAS S/A;PRINCIPAL > SUPLEMENTOS > SUPLE- DIVERSOS
7899706185844; PROT SOLAR ANTHELIOS ULTRA COVER FPS60 30G 3.0;LOREAL - LA ROCHE-POSAY;PRINCIPAL > PERFUMARIA > PERF-DERMOCOSMETICOS > DERM-PROT SOLAR
7893454714707;*NORTRIPTILINA 50MG C/30 CPS;DELTA INSTITUTO TERAPEUTICO  LTDA;PRINCIPAL > GENERICO > GENERICO-CONTROLADO
;,,,.,.;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;,.,,..;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;,MB;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;,NM;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;-------------;ZNL NUTRITION PHARMA;PRINCIPAL > MARCAS EXCLUSIVAS > VITAMINAS EXCLUSIVAS > ZAN PHARMA / ZNL
;-272845;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;-315758;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;.;NESTLE BRASIL LTDA;PRINCIPAL > CONVENIENCIA > CONV-FORMULAS > CONV-FORMULAS-INFANTIL
;.,N;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;".,N;";USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;.,X.,MF123;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0;INTEGRALMEDICA SUPL NUTRICIONAIS LTDA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
;0  0;0;PRINCIPAL > GENERICO > GENERICO-RX
549660;0(A D);A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
592321;0(A D)-59232;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-ORAL CARE > PERF-ORAL-FIO DENTAL
422406;0(COM);PERFUMES IMPORTADOS;PRINCIPAL > PERFUMARIA > PERF-PERFUMES NACIONAIS
60301;0(DIV);DIVCOM PHARMA;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
549752;0(DKT);DKT DO BRASIL;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
75008;0(EUR);EUROFARMA LAB-OL-REP-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
132442;0(EXC);0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
;0(EXC)-2246;0;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
;0(EXC)-29847;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP/FR
;0(EXC)-31461;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
319218;0(EXC)-31921;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
321297;0(EXC)-32129;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
323864;0(EXC)-32386;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
336215;0(EXC)-33621;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
344241;0(EXC)-34424;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
354981;0(EXC)-35498;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
357951;0(EXC)-35795;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
371834;0(EXC)-37183;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0(EXC)-38270;0;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
;0(EXC)-38271;0;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
387972;0(EXC)-38797;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
387989;0(EXC)-38798;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
394284;0(EXC)-39428;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
406246;0(EXC)-40624;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
410588;0(EXC)-41058;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
410595;0(EXC)-41059;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
412919;0(EXC)-41291;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
412926;0(EXC)-41292;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
418966;0(EXC)-41896;HYPERMARCAS S/A;PRINCIPAL > VAREJO > VAREJO-PRIMEIROS SOCORROS > ALGODÃO
;0(EXC)-43233;0;PRINCIPAL > CONVENIENCIA > CONV-ALIMENTOS > CONV-ALIMENTOS-SORVETE
437219;0(EXC)-43721;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0(EXC)-44331;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
447850;0(EXC)-44785;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
452816;0(EXC)-45281;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
462372;0(EXC)-46237;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
465670;0(EXC)-46567;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
482912;0(EXC)-48291;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
482967;0(EXC)-48296;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
483544;0(EXC)-48354;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0(EXC)-4876;HYPERMARCAS S/A;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
510301;0(EXC)-51030;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
514538;0(EXC)-51453;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
514897;0(EXC)-51489;0;PRINCIPAL > PERFUMARIA > PERF-DESODORANTES > PERF-DESODORANTES-CREME
525473;0(EXC)-52547;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
529747;0(EXC)-52974;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
532402;0(EXC)-53240;0;PRINCIPAL > PERFUMARIA > PERF-ORAL CARE > PERF-ORAL-FIO DENTAL
546072;0(EXC)-54607;0;PRINCIPAL > PERFUMARIA > PERF-UNHAS-CUIDADOS UNHAS > PERF-UNHAS-BASE
;0(EXC)-54968;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
549707;0(EXC)-54970;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
549721;0(EXC)-54972;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
549738;0(EXC)-54973;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
549745;0(EXC)-54974;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0(EXC)-54979;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
549974;0(EXC)-54997;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
549981;0(EXC)-54998;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
550857;0(EXC)-55085;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
553353;0(EXC)-55335;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
567688;0(EXC)-56768;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
567695;0(EXC)-56769;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
575270;0(EXC)-57527;0;PRINCIPAL > SUPLEMENTOS > SUPLE- BONIFICADOS
582988;0(EXC)-58298;0;PRINCIPAL > PERFUMARIA > PERF-ACESSORIOS
595483;0(EXC)-59548;0;PRINCIPAL > USO E CONSUMO > .......
;0(KIB);KIBON;PRINCIPAL > CONVENIENCIA > CONV-ALIMENTOS > CONV-ALIMENTOS-SORVETE
32322;0(MOM);MOMENTA FARM-OL-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
515542;0(NEO);NEO QUIMICA BRAINF-SIC;PRINCIPAL > SIMILAR > SIMILAR-OTC/MIP > DOR E FEBRE
;0(OUT);OUTROS ( PESQUISA O FABRICANTE !!! );PRINCIPAL > USO E CONSUMO > USO E CONSUMO
68277;0(OUT)-6827;OUTROS ( PESQUISA O FABRICANTE !!! );PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
59268;0(PFI);PFIZER LAB -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTICONCEPCIONAL
408363;0(SAN);SANOFI  AVENTIS OTC -OL;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
327053;0(STI);STIEFELL;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-AGUA MICELAR
327060;0(STI)-32706;STIEFELL;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-AGUA MICELAR
;0(TAK);TAKEDA PHARMA LTDA-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP/FR
;0*;MAXINUTRI ALIMENTOS LTDA;PRINCIPAL > SIMILAR > SIMILAR-OTC/MIP > DOR E FEBRE
;0**0;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
;0*0;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0*0/000;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0*00;0;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;0*00/00;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0*000;0;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;0,;MAXINUTRI ALIMENTOS LTDA;PRINCIPAL > SIMILAR > SIMILAR-OTC/MIP > DOR E FEBRE
;0,,;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0,,,;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
;0,0;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0,0,,,;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0,00;0;PRINCIPAL > GENERICO > GENERICO-OTC/MIP
;0,02;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0,G;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0-00/00*;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0.0;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0/;MAXINUTRI ALIMENTOS LTDA;PRINCIPAL > SIMILAR > SIMILAR-OTC/MIP > DOR E FEBRE
;0/00;0;PRINCIPAL > PERFUMARIA > PERF-ORAL CARE > PERF-ORAL-FIO DENTAL
;0/000*000/0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-ORAL CARE > PERF-ORAL-FIO DENTAL
00;00  ;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00*;0;PRINCIPAL > PERFUMARIA > PERF-FRALDA
;00*0;0;PRINCIPAL > SIMILAR > SIMILAR-RX > DOR E FEBRE
;00*00;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
;00*00/0;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00*00/00*;0;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;00*00/00-;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00*00/00-0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00*00/000-00;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00*000/;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00*000/000-00;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00,0,0212115433;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00,000;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
;00-;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
;00-00*00;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
7899706197694;00-00*00/0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00/;0;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;00//000*000;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00/0;0;PRINCIPAL > PERFUMARIA > PERF-ORAL CARE > PERF-ORAL-FIO DENTAL
;00/00;SEM FAB;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
;00/0000;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00/00000;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00/001;0;PRINCIPAL > PERFUMARIA > PERF-UNHAS-CUIDADOS UNHAS > PERF-UNHAS-BASE
;000;A DEFINIR;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;000        ;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
274296;000(exc) - 7894111;GROSS;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-CARDIOVASCULAR
;000*0;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
;000*00-00/;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000,;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
;000,,;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
7892840234348;000,00;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;"000,;";A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000-;0;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-AGUA MICELAR
;000-0;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000-00;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP/FR
;000/00*00-0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000/00*00-000;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000/0000*000-0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000/00000000/0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP/FR
7898108611715;0000 ;SANFARMA;PRINCIPAL > VAREJO > VAREJO-PRIMEIROS SOCORROS > ALGODÃO
;0000*0;0;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-AGUA MICELAR
;0000*00;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000*00/0;0;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;0000*000;0;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;0000,;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
;0000-00;EMS GENERICOS;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000-000;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000.;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
;0000..;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
;0000/0;0;PRINCIPAL > PERFUMARIA > PERF-UNHAS-CUIDADOS UNHAS > PERF-UNHAS-BASE
;0000/00;0;PRINCIPAL > PERFUMARIA > PERF-UNHAS-CUIDADOS UNHAS > PERF-UNHAS-BASE
;00000;0;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;00000,;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
;00000-excl18941;TEUTO S/A-SIC;PRINCIPAL > GENERICO > GENERICO-USO CONTINUO
;00000/000*000-0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000000;COTY;PRINCIPAL > PERFUMARIA > PERF-DESODORANTES > PERF-DESODORANTES-CREME
;000000 - exc 1891;NOVA QUIMICA  FARM-SIC;PRINCIPAL > GENERICO > GENERICO-USO CONTINUO
;000000,;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
;000000- ecl1981;TEUTO S/A-SIC;PRINCIPAL > GENERICO > GENERICO-USO CONTINUO
;000000/000*0;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000000;A DEFINIR;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;0000000         ;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000000-000;A DEFINIR;PRINCIPAL > CONVENIENCIA > CONV-BEBIDAS > CONV-BEBIDAS-AGUA MINERAL
;00000000-0;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;000000000;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
260824;000000000-ecl 561915519;LATINOFARMA INDUSTRIAS FARMACEUTICAS LTD;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-CARDIOVASCULAR
;000000000000 - ecl 251911;CIMED INDUSTRIA DE MEDICAMENTOS LTDA;PRINCIPAL > GENERICO > GENERICO-RX
;0000000000000;BOLD SNACKS;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
;0000000000000 - ecl 151919919;CIMED INDUSTRIA DE MEDICAMENTOS LTDA;PRINCIPAL > GENERICO > GENERICO-USO CONTINUO
;00000001210;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000000d0000d0;HYPERA PHARMA-OL CH;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
;0000000x-exc15151;MOMENTA FARM-OL-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
;0000000X004156151;CIMED INDUSTRIA DE MEDICAMENTOS LTDA;PRINCIPAL > GENERICO > GENERICO-ANTIMICROBIANOS
;00000440040404;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00004550505;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0000l0000j000;HYPERA PHARMA-OL CH;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
;000M,;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;00K,;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;01;MONANGE;PRINCIPAL > PERFUMARIA > PERF-DESODORANTES > PERF-DESODORANTES-CREME
;010;0;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
;020;0;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
17898449400600;02000;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0232H12G;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;030;0;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
;04045050506;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;044000404045;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;09;0;PRINCIPAL > PERFUMARIA > PERF-UNHAS-CUIDADOS UNHAS > PERF-UNHAS-BASE
;0DDDDDDDDDDDDDD;SEM FAB;PRINCIPAL > GENERICO > GENERICO-CONTROLADO
;0x000 ALTA D 15000 C/ 4 CP;EUROFARMA LAB-OL-REP-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
0618341046825;100 PESO 500 MG C/ 60 CP;VITABE COSMETICOS;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
7899621100298;100% HIPER MASS FLAVOUR 2,5 KG CHOCOLATE;ADS LABORATORIO (ATLHETICA);PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
7899621100021;100% HIPER MASS FLAVOUR 2,5 KG MORANGO;ADS LABORATORIO (ATLHETICA);PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
602883740198;100% ISO WHEY MD REFIL 900G BAUNILHA;MUSCLE DEFINITION;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
602883740228;100% ISO WHEY MD REFIL 900G CHOCOLATE;MUSCLE DEFINITION;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
602883740211;100% ISO WHEY MD REFIL 900G COCO;MUSCLE DEFINITION;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
602883740235;100% ISO WHEY MD REFIL 900G COOKIES;MUSCLE DEFINITION;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
7899941203730;100% MONSTER WHEY PROBIOTICA POTE 900G CHOCOLATE;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
7899941203747;100% MONSTER WHEY PROBIOTICA POTE 900G COOKIES;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
7899941203754;100% MONSTER WHEY PROBIOTICA POTE 900G MORANGO;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PROTEINAS
7899941202900;100% PURE WHEY PROBIOTICA POTE 900G COOKIES CREAM;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
7898629562305;100% PURE WHEY PROBIOTICA POTE 900G IOGURTE E COCO;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
7898629562282;100% PURE WHEY PROBIOTICA POTE 900G IOGURTE MORANGO;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
7896438210318;100% PURE WHEY PROBIOTICA REFIL 825G CHOCOLATE;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
7896438210592;100% PURE WHEY PROBIOTICA REFIL 825G MORANGO;PROBIOTICA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
