Cód. de Barras;Produto;Fabricante;Classificação Principal
7897169241657;PULVERIZADOR SANTA CLARA 250ML;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CUIDADOS UNHAS > PERF-UNHAS-ACESSÓRIOS
7897169240940;PULVERIZADOR SANTA CLARA 280ML BOLINHA;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-ACESSORIOS
7897169229136;PULVERIZADOR SANTA CLARA 280ML PINK;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7897169228726;PULVERIZADOR SANTA CLARA 300ML GIRAFINHA;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-ACESSORIOS
7897169210905;PULVERIZADOR SANTA CLARA 340ML;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7897169234925;PULVERIZADOR SANTA CLARA 350ML VENEZA;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
7897169201347;PULVERIZADOR SANTA CLARA BOLINHA 280ML COLORS;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CUIDADOS UNHAS > PERF-UNHAS-ACESSÓRIOS
7897169210912;PULVERIZADOR SANTA CLARA FRANCES 340ML;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-ACESSORIOS
7897169240933;PULVERIZADOR SANTA CLARA PET 280ML AZUL;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7897169220478;PULVERIZADOR SANTA CLARA PET 280ML LILAS;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
7897169220430;PULVERIZADOR SANTA CLARA PET 280ML ROSA;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
7897169210899;PULVERIZADOR SANTA CLARA PET 320ML;SANTA CLARA;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7897595901033;PURAN T4 100 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595903372;PURAN T4 112 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7891058003555;PURAN T4 12,5 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595901446;PURAN T4 125 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595901330;PURAN T4 150 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595901576;PURAN T4 175 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595903259;PURAN T4 200 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595901309;PURAN T4 25 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7891058003562;PURAN T4 37,5 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595901316;PURAN T4 50 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7891058003579;PURAN T4 62,5 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595901323;PURAN T4 75 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7897595903365;PURAN T4 88 MCG C/ 30 CP;SANOFI  AVENTIS RX -SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-TIREÓIDE
7898430190995;PURAVIT A/D/E GTS C/ 20 ML;MYRALIS PHARMA-OL;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
7898430194979;PURAVIT A/D/Z GTS C/ 10 ML;MYRALIS PHARMA-OL;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
7898430194849;PURAVIT IMUNE 75ML;MYRALIS PHARMA-OL;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
7898430194405;PURAVIT IMUNE 7C/ 60 CAPS;MYRALIS PHARMA-OL;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
7898430193934;PURAVIT IMUNI C/60 CPS;MYRALIS PHARMA-OL;PRINCIPAL > USO E CONSUMO > .......
7898430195006;PURAVIT MULTI SOL ORAL C/ 120 ML;MYRALIS PHARMA-OL;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
0736532229991;PURE CAFFEINE MD DEFINITION 200MG C/ 60 CP;MUSCLE DEFINITION;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - PRE TREINO
7894913001758;PURE MAGNESIO P.A 500MG C/60 CP;A DEFINIR;PRINCIPAL > SUPLEMENTOS > SUPLE- DIVERSOS
7894913001741;PURE MAGNESIO P.A PO 50 G KRESS;KRESS IND FARMOQUIMICA LTDA;PRINCIPAL > SUPLEMENTOS > SUPLE- DIVERSOS
7898132544256;PURE WHEY SANAVITA 375G BAUNILHA;SANAVITA;PRINCIPAL > SUPLEMENTOS > SUPLE- DIVERSOS
7896658038006;PURIANCE CONTROL 300ML LIMPEZA FACIAL;ACHE LAB. FARM. S.A-OL;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-LINHA TÓPICA
7896658024689;PURIANCE PROFUSE SAB LIQ 60 ML-DEMAIS PRODUTOS;ACHE LAB. FARM. S.A-OL;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-AGUA MICELAR
7899674007933;PURIFICADOR DE AR ACQUA 400ML CAPIM LIMAO;BASTON DO BRASIL PRODUTOS QUIMICOS LTDA;PRINCIPAL > VAREJO > VAREJO-APARELHOS
7899674007926;PURIFICADOR DE AR ACQUA 400ML LAVANDA;BASTON DO BRASIL PRODUTOS QUIMICOS LTDA;PRINCIPAL > VAREJO > VAREJO-APARELHOS
7899674007919;PURIFICADOR DE AR ACQUA 400ML PETALAS ROSAS;BASTON DO BRASIL PRODUTOS QUIMICOS LTDA;PRINCIPAL > VAREJO > VAREJO-APARELHOS
7899674007940;PURIFICADOR DE AR ACQUA 400ML TALCO;BASTON DO BRASIL PRODUTOS QUIMICOS LTDA;PRINCIPAL > VAREJO > VAREJO-APARELHOS
